env_material,variable,mean,sd,n,se
air,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__MOB164;D_5__Photorhabdus luminescens,0,0,81,0
air,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__MOB164;D_5__uncultured Firmicutes bacterium,0,0,81,0
air,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__MOB164;D_5__uncultured bacterium,0,0,81,0
air,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__P5D1-392;D_5__bacterium enrichment culture clone SRC_DSC20,0,0,81,0
air,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__P5D1-392;D_5__uncultured bacterium,0.925925925925926,3.32331828816387,81,0.0410286208415293
air,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__PeH08;D_5__uncultured Bacilli bacterium,0,0,81,0
air,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__PeH08;D_5__uncultured bacterium,0,0,81,0
air,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Rs-D42;D_5__uncultured Enterococcaceae bacterium,0,0,81,0
air,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Rs-D42;D_5__uncultured Enterococcus sp.,0,0,81,0
air,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Rs-D42;D_5__uncultured bacterium,0.0123456790123457,0.111111111111111,81,0.00137174211248285
air,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Streptococcaceae;D_5__Lactococcus,3.1358024691358,7.9037223610457,81,0.0975768192721691
air,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Streptococcaceae;D_5__Lactovum,0.0123456790123457,0.111111111111111,81,0.00137174211248285
air,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Streptococcaceae;D_5__Streptococcus,535.679012345679,643.171221898969,81,7.94038545554282
air,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Streptococcaceae;D_5__uncultured,0,0,81,0
air,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__uncultured bacterium;D_5__uncultured bacterium,0,0,81,0
air,NA,NA,NA,7,NA
animal habitation,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__16d63.751;D_5__uncultured bacterium,0,0,17,0
animal habitation,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__Abiotrophia,0,0,17,0
animal habitation,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__Aerococcus,2.64705882352941,9.47985480156862,17,0.55763851773933
animal habitation,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__Aerosphaera,0,0,17,0
animal habitation,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__Dolosicoccus,0,0,17,0
